Country,Density(P/Km2),Armed Forces,GDP,Labor force participation(%),Unemployment rate,Total tax rate,CPI,Self-paid Health,Birth Rate,Forested Area(%),Agricultural Land(%),Primary educ. enr.(%)
Afghanistan,4.110873864173311,12.685410698175234,23.67302505084829,48.9,11.12,71.4,5.016617365773803,78.4,32.49,2.1,58.1,104.0
Albania,4.663439094112067,9.105090961257085,23.449684791302634,55.7,12.33,36.6,4.7879083226672625,56.9,11.78,28.1,43.1,107.0
Algeria,2.9444389791664403,12.666660207428574,25.858995073949465,41.2,11.7,66.1,5.026246141610403,28.1,24.28,0.8,17.4,109.9
Angola,3.295836866004329,11.669937760751914,25.273297617901143,77.5,6.89,49.1,5.571126888877067,33.4,40.73,46.3,47.5,113.5
Argentina,2.8903717578961645,11.561725152903833,26.831765244241744,61.3,9.79,106.3,5.4542521681687965,17.6,17.02,9.8,54.3,109.7
Armenia,4.653960350157523,10.799595985047786,23.3386744527033,55.6,16.99,22.6,4.868918108144241,81.6,13.99,11.7,58.9,92.7
Australia,1.3862943611198906,10.968215530759236,27.96225148747026,65.5,5.27,47.4,4.794136285500715,19.6,12.6,16.3,48.2,100.3
Austria,4.700480365792417,9.952325334619427,26.82429023409275,60.7,4.67,51.4,4.779627567725244,17.9,9.7,46.9,32.4,103.1
Azerbaijan,4.820281565605037,11.314486721293981,24.392121139254925,66.5,5.51,40.7,5.058281947563609,78.6,14.0,14.1,57.7,99.7
The Bahamas,3.6888794541139363,6.90875477931522,23.274818161342086,74.6,10.36,33.8,4.764052511048283,27.8,13.97,51.4,1.4,81.4
Bahrain,7.7142311448490855,9.852246888342531,24.375846103990675,73.4,0.71,13.8,4.775672165976704,25.1,13.99,0.8,11.1,99.4
Bangladesh,7.143617602704121,12.30592250537653,26.435582637529148,59.0,4.19,33.4,5.1967275107864035,71.8,18.18,11.0,70.6,116.5
Barbados,6.505784060128229,6.90875477931522,22.373653735901442,65.2,10.33,35.6,4.90594122298159,45.2,10.65,14.7,23.3,99.4
