Country,Density(P/Km2),Armed Forces,GDP,Labor force participation(%),Unemployment rate,Total tax rate,CPI,Self-paid Health,Birth Rate,Forested Area(%),Agricultural Land(%),Primary educ. enr.(%)
Afghanistan,60.0,323000.0,19101353833.0,48.9,11.12,71.4,149.9,78.4,32.49,2.1,58.1,104.0
Albania,105.0,9000.0,15278077447.0,55.7,12.33,36.6,119.05,56.9,11.78,28.1,43.1,107.0
Algeria,18.0,317000.0,169988236398.0,41.2,11.7,66.1,151.36,28.1,24.28,0.8,17.4,109.9
Angola,26.0,117000.0,94635415870.0,77.5,6.89,49.1,261.73,33.4,40.73,46.3,47.5,113.5
Argentina,17.0,105000.0,449663446954.0,61.3,9.79,106.3,232.75,17.6,17.02,9.8,54.3,109.7
Armenia,104.0,49000.0,13672802158.0,55.6,16.99,22.6,129.18,81.6,13.99,11.7,58.9,92.7
Australia,3.0,58000.0,1392680589329.0,65.5,5.27,47.4,119.8,19.6,12.6,16.3,48.2,100.3
Austria,109.0,21000.0,446314739528.0,60.7,4.67,51.4,118.06,17.9,9.7,46.9,32.4,103.1
Azerbaijan,123.0,82000.0,39207000000.0,66.5,5.51,40.7,156.32,78.6,14.0,14.1,57.7,99.7
The Bahamas,39.0,1000.0,12827000000.0,74.6,10.36,33.8,116.22,27.8,13.97,51.4,1.4,81.4
Bahrain,2239.0,19000.0,38574069149.0,73.4,0.71,13.8,117.59,25.1,13.99,0.8,11.1,99.4
Bangladesh,1265.0,221000.0,302571254131.0,59.0,4.19,33.4,179.68,71.8,18.18,11.0,70.6,116.5
Barbados,668.0,1000.0,5209000000.0,65.2,10.33,35.6,134.09,45.2,10.65,14.7,23.3,99.4
Belgium,383.0,32000.0,529606710418.0,53.6,5.59,55.4,117.11,17.6,10.3,22.6,44.6,103.9
Belize,17.0,2000.0,1879613600.0,65.1,6.41,31.1,105.68,22.7,20.79,59.7,7.0,111.7
Benin,108.0,12000.0,14390709095.0,70.9,2.23,48.9,110.71,40.5,36.22,37.8,33.3,122.0
Bhutan,20.0,6000.0,2446674101.0,66.7,2.34,35.3,167.18,19.8,17.26,72.5,13.6,100.1
Bolivia,11.0,71000.0,40895322865.0,71.8,3.5,83.7,148.32,25.9,21.75,50.3,34.8,98.2
Botswana,4.0,9000.0,18340510789.0,70.8,18.19,25.1,149.75,5.3,24.82,18.9,45.6,103.2
Brazil,25.0,730000.0,1839758040766.0,63.9,12.08,65.1,167.4,28.3,13.92,58.9,33.9,115.4
