Country,Density(P/Km2),Urban population,Population,Armed Forces,GDP,Minimum wage,Labor force participation(%),Unemployment rate,Tax revenue(%),Total tax rate,CPI,CPI Change(%),Doctors/1000,Self-paid Health,Birth Rate,Fertility Rate,Life expectancy,Infant mortality,Maternal mortality ratio,Co2-Emissions,Land Area(Km2),Forested Area(%),Agricultural Land(%),Gasoline Price,Primary educ. enr.(%),Tertiary educ. enr.(%)
Afghanistan,60.0,9797273.0,38041754.0,323000.0,19101353833.0,0.43,48.9,11.12,9.3,71.4,149.9,2.3,0.28,78.4,32.49,4.47,64.5,47.9,638.0,8672.0,652230.0,2.1,58.1,0.7,104.0,9.7
Albania,105.0,1747593.0,2854191.0,9000.0,15278077447.0,1.12,55.7,12.33,18.6,36.6,119.05,1.4,1.2,56.9,11.78,1.62,78.5,7.8,15.0,4536.0,28748.0,28.1,43.1,1.36,107.0,55.0
Algeria,18.0,31510100.0,43053054.0,317000.0,169988236398.0,0.95,41.2,11.7,37.2,66.1,151.36,2.0,1.72,28.1,24.28,3.02,76.7,20.1,112.0,150006.0,2381741.0,0.8,17.4,0.28,109.9,51.4
Angola,26.0,21061025.0,31825295.0,117000.0,94635415870.0,0.71,77.5,6.89,9.2,49.1,261.73,17.1,0.21,33.4,40.73,5.52,60.8,51.6,241.0,34693.0,1246700.0,46.3,47.5,0.97,113.5,9.3
Argentina,17.0,41339571.0,44938712.0,105000.0,449663446954.0,3.35,61.3,9.79,10.1,106.3,232.75,53.5,3.96,17.6,17.02,2.26,76.5,8.8,39.0,201348.0,2780400.0,9.8,54.3,1.1,109.7,90.0
Armenia,104.0,1869848.0,2957731.0,49000.0,13672802158.0,0.66,55.6,16.99,20.9,22.6,129.18,1.4,4.4,81.6,13.99,1.76,74.9,11.0,26.0,5156.0,29743.0,11.7,58.9,0.77,92.7,54.6
Australia,3.0,21844756.0,25766605.0,58000.0,1392680589329.0,13.59,65.5,5.27,23.0,47.4,119.8,1.6,3.68,19.6,12.6,1.74,82.7,3.1,6.0,375908.0,7741220.0,16.3,48.2,0.93,100.3,113.1
Azerbaijan,123.0,5616165.0,10023318.0,82000.0,39207000000.0,0.47,66.5,5.51,13.0,40.7,156.32,2.6,3.45,78.6,14.0,1.73,72.9,19.2,26.0,37620.0,86600.0,14.1,57.7,0.56,99.7,27.7
The Bahamas,39.0,323784.0,389482.0,1000.0,12827000000.0,5.25,74.6,10.36,14.8,33.8,116.22,2.5,1.94,27.8,13.97,1.75,73.8,8.3,70.0,1786.0,13880.0,51.4,1.4,0.92,81.4,15.1
Bangladesh,1265.0,60987417.0,167310838.0,221000.0,302571254131.0,0.51,59.0,4.19,8.8,33.4,179.68,5.6,0.58,71.8,18.18,2.04,72.3,25.1,173.0,84246.0,148460.0,11.0,70.6,1.12,116.5,20.6
Barbados,668.0,89431.0,287025.0,1000.0,5209000000.0,3.13,65.2,10.33,27.5,35.6,134.09,4.1,2.48,45.2,10.65,1.62,79.1,11.3,27.0,1276.0,430.0,14.7,23.3,1.81,99.4,65.4
Belgium,383.0,11259082.0,11484055.0,32000.0,529606710418.0,10.31,53.6,5.59,24.0,55.4,117.11,1.4,3.07,17.6,10.3,1.62,81.6,2.9,5.0,96889.0,30528.0,22.6,44.6,1.43,103.9,79.7
Belize,17.0,179039.0,390353.0,2000.0,1879613600.0,1.65,65.1,6.41,26.3,31.1,105.68,-0.9,1.12,22.7,20.79,2.31,74.5,11.2,36.0,568.0,22966.0,59.7,7.0,1.13,111.7,24.7
Benin,108.0,5648149.0,11801151.0,12000.0,14390709095.0,0.39,70.9,2.23,10.8,48.9,110.71,-0.9,0.08,40.5,36.22,4.84,61.5,60.5,397.0,6476.0,112622.0,37.8,33.3,0.72,122.0,12.3
Bhutan,20.0,317538.0,727145.0,6000.0,2446674101.0,0.32,66.7,2.34,16.0,35.3,167.18,2.7,0.42,19.8,17.26,1.98,71.5,24.8,183.0,1261.0,38394.0,72.5,13.6,0.98,100.1,15.6
Botswana,4.0,1616550.0,2346179.0,9000.0,18340510789.0,0.29,70.8,18.19,19.5,25.1,149.75,2.8,0.37,5.3,24.82,2.87,69.3,30.0,144.0,6340.0,581730.0,18.9,45.6,0.71,103.2,24.9
Brazil,25.0,183241641.0,212559417.0,730000.0,1839758040766.0,1.53,63.9,12.08,14.2,65.1,167.4,3.7,2.15,28.3,13.92,1.73,75.7,12.8,60.0,462299.0,8515770.0,58.9,33.9,1.02,115.4,51.3
Bulgaria,64.0,5256027.0,6975761.0,31000.0,86000000000.0,1.57,55.4,4.34,20.2,28.3,114.42,3.1,4.03,47.7,8.9,1.56,74.9,5.9,10.0,41708.0,110879.0,35.4,46.3,1.11,89.3,71.0
Burkina Faso,76.0,6092349.0,20321378.0,11000.0,15745810235.0,0.34,66.4,6.26,15.0,41.3,106.58,-3.2,0.08,36.1,37.93,5.19,61.2,49.0,320.0,3418.0,274200.0,19.3,44.2,0.98,96.1,6.5
Ivory Coast,83.0,13176900.0,25716544.0,27000.0,58792205642.0,0.36,57.0,3.32,11.8,50.1,111.61,-0.9,0.23,36.0,35.74,4.65,57.4,59.4,617.0,9674.0,322463.0,32.7,64.8,0.93,99.8,9.3
Cape Verde,138.0,364029.0,483628.0,1000.0,1981845741.0,0.68,60.5,12.25,20.1,37.5,110.5,1.1,0.77,23.2,19.49,2.27,72.8,16.7,58.0,543.0,4033.0,22.5,19.6,1.02,104.0,23.6
