Country,Density(P/Km2),Armed Forces,GDP,Labor force participation(%),Unemployment rate,Total tax rate,CPI,Self-paid Health,Birth Rate,Forested Area(%),Agricultural Land(%),Primary educ. enr.(%),Cluster
Afghanistan,0.379737597147916,0.8499777368057303,0.2744774669499419,0.2233606557377048,0.3926664293342827,0.6449643947100714,0.12418715775880407,0.9580602883355177,0.6575100806451615,0.021363173957273655,0.701219512195122,0.5229244114002477,poor
Albania,0.4493961534933214,0.6100807291775633,0.25140388559392735,0.36270491803278704,0.4357422570309719,0.29094608341810785,0.05510551423667631,0.6762778505897772,0.13558467741935482,0.2858596134282808,0.5182926829268293,0.5600991325898389,poor
Algeria,0.23269220638110402,0.8487213723041745,0.5003129579287808,0.06557377049180335,0.413314346742613,0.5910478128179044,0.12709553274417185,0.2988204456094365,0.45060483870967744,0.008138351983723298,0.2048780487804878,0.5960346964064437,poor
Armenia,0.44820122557519226,0.7236199420100451,0.23993525882577904,0.360655737704918,0.6016375934496262,0.14852492370295017,0.07957454723209545,0.9999999999999999,0.19128024193548387,0.1190233977619532,0.7109756097560975,0.3828996282527882,poor
Azerbaijan,0.4691683352121324,0.7581198626755803,0.3487682470018507,0.584016393442623,0.19295122819508723,0.33265513733468977,0.13677195872516168,0.9606815203145479,0.19153225806451613,0.1434384537131231,0.6963414634146342,0.46964064436183406,poor
Bangladesh,0.7620572567020265,0.8245503759630941,0.5598809914046377,0.430327868852459,0.14595941616233538,0.25839267548321465,0.17858948773874794,0.8715596330275229,0.296875,0.11190233977619532,0.8536585365853658,0.6778190830235439,poor
Egypt,0.4469948627664484,0.9136971605641072,0.560086975292462,0.17213114754098358,0.37985048059807763,0.37029501525941,0.3210574351874025,0.7431192660550459,0.5035282258064515,0.0010172939979654122,0.03902439024390244,0.5514250309789342,poor
Guatemala,0.5074517402953962,0.7148680119947928,0.4181089383656964,0.4979508196721312,0.08437166251334995,0.2767039674465921,0.10988212142282627,0.6618610747051114,0.4576612903225807,0.33265513733468977,0.4317073170731707,0.4969021065675342,poor
India,0.6357940993132901,1.0,0.7825346734097991,0.23155737704918034,0.1876112495550018,0.4242115971515769,0.17985734697377231,0.783748361730013,0.28881048387096775,0.24211597151576808,0.7292682926829268,0.6344485749690211,poor
Iran,0.3620152809435857,0.887207096469351,0.5998142432344751,0.13729508196721318,0.4019223923104308,0.3733468972533063,0.515887200825565,0.45085190039318485,0.3119959677419355,0.0671414038657172,0.33658536585365856,0.6059479553903345,poor
Iraq,0.4342502867927367,0.8208096442276824,0.5333719346968797,0.10245901639344257,0.45318618725525106,0.23194303153611395,0.057136660264952344,0.9331585845347313,0.5715725806451613,0.019328585961342827,0.25365853658536586,0.5811648079306072,poor
Jordan,0.4607609570121266,0.7813614863540903,0.3600799533720598,0.026639344262294973,0.5208259166963333,0.20956256358087488,0.07115169283043188,0.25950196592398433,0.39264112903225806,0.011190233977619533,0.13902439024390245,0.24411400247831472,poor
Lebanon,0.6814608625534577,0.7564653705721398,0.3806230657150391,0.18442622950819676,0.21858312566749735,0.24618514750762976,0.08151729729090995,0.3512450851900394,0.28099798387096775,0.13631739572736523,0.776829268292683,0.41263940520446096,poor
Mauritania,0.08738087254973576,0.6668491202331349,0.1791796419909817,0.16188524590163933,0.33677465290138847,0.600203458799593,0.0928296715399648,0.562254259501966,0.6877520161290323,0.0020345879959308244,0.46219512195121953,0.47211895910780666,poor
Mauritius,0.6734757660154017,0.5364838100879846,0.24370150014243785,0.415983606557377,0.23424706301174797,0.14445574771108852,0.08126359944024664,0.5950196592398428,0.09576612903225806,0.19328585961342828,0.5097560975609756,0.4869888475836429,poor
Moldova,0.4691683352121324,0.5932436953546562,0.22606854319736547,0.10450819672131151,0.19152723389106444,0.3123092573753815,0.15516946811517207,0.5360419397116645,0.0932459677419355,0.12817904374364192,0.8975609756097561,0.3568773234200743,poor
