Country,Density(P/Km2),Armed Forces,GDP,Labor force participation(%),Unemployment rate,Total tax rate,CPI,Self-paid Health,Birth Rate,Forested Area(%),Agricultural Land(%),Primary educ. enr.(%),Cluster
Argentina,0.22587627882136155,0.7746859138308156,0.6008111471518256,0.4774590163934427,0.3453186187255251,1.0,0.25637489726084217,0.16120576671035391,0.26764112903225806,0.09969481180061039,0.6548780487804878,0.5935563816604709,rich
Australia,0.03626633882784569,0.7349181855793798,0.7176031951151103,0.5635245901639345,0.1844072623709505,0.4008138351983723,0.05698667250871359,0.18741808650065533,0.15625,0.16581892166836218,0.5804878048780489,0.4770755885997521,rich
Austria,0.45406572256978517,0.6668491202331349,0.6000388938412908,0.4651639344262295,0.16304734781060876,0.4415055951169888,0.0526043094166635,0.1651376146788991,0.08316532258064513,0.47711088504577825,0.3878048780487805,0.5117719950433705,rich
Bahrain,0.8339910546019811,0.6601434286876727,0.3470868513098888,0.7254098360655739,0.02207191171235315,0.059003051881993895,0.05140957898594678,0.25950196592398433,0.19128024193548387,0.008138351983723298,0.12804878048780488,0.46592317224287483,rich
Barbados,0.6816494399281827,0.4629166442607048,0.14023767602246195,0.557377049180328,0.36454254182983276,0.2807731434384537,0.09075739154175877,0.5229357798165138,0.10710685483870969,0.14954221770091555,0.27682926829268295,0.46592317224287483,rich
Belgium,0.6116661078481503,0.6950711591957166,0.6177165258600041,0.319672131147541,0.19579921680313278,0.4821973550356053,0.050184531580354186,0.16120576671035391,0.09828629032258068,0.22990844354018314,0.5365853658536586,0.5216852540272615,rich
Brazil,0.2722331176669769,0.9046124487108504,0.7463654534144664,0.5307377049180328,0.4268422926308295,0.5808748728382502,0.15732955124413106,0.3014416775884666,0.18951612903225806,0.5991861648016277,0.40609756097560973,0.664188351920694,rich
Bulgaria,0.38774434804624447,0.6929439257480327,0.4299184769869262,0.35655737704918034,0.1512993948024208,0.20651068158697866,0.043225671090449724,0.5557011795543906,0.06300403225806453,0.36012207527975587,0.5573170731707316,0.3407682775712514,rich
Canada,0.06439669665737752,0.7494058504454996,0.7403935105597026,0.555327868852459,0.1947312210751157,0.167853509664293,0.049288125123351234,0.12188728702490172,0.0932459677419355,0.38860630722278744,0.07682926829268294,0.4845105328376703,rich
Chile,0.27699081254325164,0.7847405446668424,0.5527233607696886,0.5040983606557379,0.24919900320398722,0.26449643947100715,0.0858433299143686,0.3525557011795545,0.15196572580645162,0.24720244150559514,0.25121951219512195,0.49070631970260237,rich
China,0.49648274228697065,0.9921273669201036,0.9924105052474053,0.6147540983606559,0.1505873976504094,0.5208545269582909,0.06990848880226253,0.35517693315858456,0.11340725806451613,0.2278738555442523,0.6780487804878049,0.4758364312267659,rich
Colombia,0.3468694142430009,0.8766598035487725,0.5668873508299956,0.6311475409836065,0.3424706301174796,0.6429298067141405,0.10571905021367711,0.17038007863695942,0.21370967741935487,0.5361139369277722,0.4841463414634146,0.6530359355638166,rich
Costa Rica,0.44330492271189603,0.6171395979503427,0.39573630496998824,0.4938524590163935,0.4186543253826985,0.5116988809766023,0.07880789211777106,0.2123197903014417,0.19077620967741937,0.555442522889115,0.4134146341463415,0.6381660470879801,rich
Croatia,0.4040920468739253,0.6565208854146586,0.3934391682663869,0.2704918032786885,0.24350302598789605,0.1271617497456765,0.030941167344581855,0.12975098296199217,0.0655241935483871,0.34994913530010174,0.32926829268292684,0.42998760842627004,rich
Cyprus,0.4770498984621433,0.6486293745926285,0.30046534342947107,0.514344262295082,0.2556069775720897,0.14649033570701933,0.010329543215931158,0.5058977719528178,0.10231854838709681,0.19023397761953204,0.14146341463414633,0.4646840148698884,rich
Czech Republic,0.48446756440303795,0.6729443479380901,0.5387023283161887,0.46311475409836067,0.06550373798504806,0.38758901322482203,0.04856907960157031,0.12450851900393188,0.10836693548387094,0.3519837232960326,0.5439024390243903,0.4820322180916977,rich
Denmark,0.48265366330278714,0.6443052919047892,0.5743559271607639,0.49590163934426235,0.17159131363474547,0.16073245167853512,0.03238228884826344,0.11009174311926605,0.10584677419354838,0.14954221770091555,0.748780487804878,0.48946716232961573,rich
Dominican Republic,0.5448386549593006,0.7484687244576853,0.43339276353895784,0.5389344262295082,0.20469918120327518,0.4150559511698881,0.0938936984858072,0.5032765399737877,0.33039314516129037,0.42421159715157686,0.5865853658536586,0.543990086741016,rich
France,0.4650347205782107,0.8465736198954634,0.7865895957878939,0.35040983606557385,0.2969028123887505,0.5361139369277721,0.031567404351587225,0.01965923984272608,0.1234879032258065,0.31739572736520855,0.6317073170731707,0.5043370508054522,rich
Germany,0.5529397683176477,0.8108007597618805,0.8225372534902657,0.4672131147540983,0.10501957992168032,0.4150559511698881,0.0390888329380259,0.0943643512450852,0.078125,0.33265513733468977,0.5743902439024391,0.5229244114002477,rich
Greece,0.4170330351722241,0.7967734697849462,0.5220782718830237,0.2827868852459017,0.6105375578497686,0.44659206510681587,0.008456175299543123,0.3958060288335518,0.04284274193548385,0.32248219735503564,0.5731707317073171,0.4684014869888474,rich
Hungary,0.45175255764272326,0.7100223297198746,0.4946795059404079,0.37909836065573765,0.11783552865788537,0.3041709053916582,0.06155275206602728,0.31061598951507213,0.08064516129032256,0.23296032553407936,0.7048780487804878,0.4832713754646839,rich
Indonesia,0.4948348240303114,0.8994630738132221,0.695016808855411,0.6045081967213115,0.16375934496262018,0.2248219735503561,0.12673847576004516,0.5635648754914809,0.2941028225806452,0.5076297049847406,0.37682926829268293,0.5526641883519207,rich
Republic of Ireland,0.4023768646130934,0.6100807291775633,0.5857592134666905,0.4938524590163935,0.17230331078675684,0.1841302136317396,0.02197857673120085,0.12975098296199217,0.15372983870967744,0.11190233977619532,0.7792682926829269,0.4845105328376703,rich
Israel,0.6171270563695702,0.8100521041665658,0.5874463908258831,0.5327868852459017,0.1342114631541474,0.17599186164801628,0.026354780526166355,0.2503276539973788,0.3629032258064517,0.07833163784333673,0.29268292682926833,0.5340768277571252,rich
Italy,0.533768197024677,0.8547800890512587,0.7550575653221139,0.23770491803278682,0.3488786044855821,0.5198372329603256,0.033113809957152185,0.22935779816513768,0.02268145161290322,0.32349949135300105,0.5195121951219512,0.4969021065675342,rich
Jamaica,0.5691177030732193,0.5557541791641991,0.25908994396267726,0.5737704918032787,0.28159487362050556,0.2756866734486267,0.14835484601063742,0.24115334207077327,0.24445564516129037,0.3143438453713123,0.4926829268292683,0.3618339529120199,rich
Japan,0.5992563632837525,0.8356970199475615,0.8513324058612755,0.4856557377049182,0.07831968672125311,0.3936927772126145,0.01887422939656913,0.10222804718217564,0.025201612903225812,0.6968463886063072,0.1426829268292683,0.4584882280049566,rich
Kuwait,0.5529397683176477,0.678531045651119,0.47632149023593673,0.7274590163934427,0.07440370238519046,0.05086469989827061,0.07352818295675001,0.11926605504587158,0.19002016129032256,0.004069175991861649,0.0951219512195122,0.379182156133829,rich
Lithuania,0.3385544921905175,0.6991331495924455,0.3822599152690018,0.48360655737704916,0.22285510857956567,0.3519837232960326,0.053415047261297754,0.3512450851900394,0.09072580645161288,0.3540183112919634,0.5682926829268293,0.5216852540272615,rich
Luxembourg,0.5539816250865033,0.5093270455822672,0.41026961316940724,0.4364754098360655,0.1876112495550018,0.12614445574771108,0.04497396957187938,0.06946264744429882,0.09828629032258068,0.36317395727365215,0.6475609756097561,0.5018587360594794,rich
Malaysia,0.4420505446858526,0.7920194283643641,0.579175671190796,0.5389344262295082,0.1149875400498398,0.3123092573753815,0.06110910400061598,0.41153342070773274,0.2608366935483871,0.6876907426246185,0.31341463414634146,0.5390334572490706,rich
Maldives,0.8066321614701455,0.5707024189897628,0.15007255049584778,0.651639344262295,0.21537913848344606,0.22583926754832145,0.002016384967640672,0.14547837483617299,0.19657258064516125,0.0335707019328586,0.31341463414634146,0.4374225526641883,rich
Malta,0.773017956388921,0.5093270455822672,0.2480227556120993,0.37909836065573765,0.12032751868992525,0.3662258392675483,0.04067648619597164,0.416775884665793,0.07056451612903222,0.011190233977619533,0.3878048780487805,0.5353159851301116,rich
Mexico,0.39156476015509456,0.8526216426069413,0.7071192302116929,0.4651639344262295,0.11854752580989676,0.4791454730417091,0.10697188830474924,0.47313237221494103,0.28225806451612906,0.34486266531027465,0.6585365853658537,0.5452292441140024,rich
Netherlands,0.6471916181884794,0.7116768013959154,0.6735343881664329,0.5245901639344264,0.11071555713777145,0.33774160732451686,0.04709999788795005,0.09174311926605506,0.08316532258064513,0.11393692777212615,0.6426829268292683,0.5254027261462205,rich
New Zealand,0.23269220638110402,0.6100807291775633,0.5206286544115986,0.653688524590164,0.141687433250267,0.27060020345879965,0.04275424932960448,0.09567496723460027,0.140625,0.39267548321464907,0.4865853658536585,0.47335811648079307,rich
Norway,0.21102808392731723,0.6729443479380901,0.589578255614013,0.528688524590164,0.11605553577785689,0.2868769074262462,0.058159588084641944,0.11795543905635651,0.10080645161290325,0.33774160732451686,0.025609756097560978,0.4770755885997521,rich
